,name,released_date,rating,votes,score
154,Neighbors,1981-12-18,R,7600.0,5.6
155,Puberty Blues,1981-12-10,R,1300.0,5.9
156,Eye of the Needle,1981-07-24,R,9900.0,7.1
157,Wolfen,1981-07-24,R,9400.0,6.3
158,Student Bodies,1981-08-07,R,4400.0,5.5
159,Prince of the City,1981-08-26,R,7600.0,7.5
160,The Hand,1981-04-24,R,5700.0,5.5
161,Continental Divide,1981-09-18,PG,4800.0,6.2
162,Diva,1982-04-23,R,12000.0,7.2
163,Venom,1982-01-29,R,2600.0,5.8
164,Fort Apache the Bronx,1981-02-06,R,5800.0,6.7
165,Eyes of a Stranger,1981-03-27,R,2400.0,6.0
166,Zorro: The Gay Blade,1981-07-17,PG,4100.0,6.2
167,Under the Rainbow,1981-07-31,PG,2600.0,5.4
168,Carbon Copy,1981-09-25,PG,2600.0,5.6
169,The Incredible Shrinking Woman,1981-01-30,PG,4500.0,5.5
170,The Night the Lights Went Out in Georgia,1981-06-05,PG,891.0,6.0
171,Quartet,1981-10-25,R,1300.0,6.3
172,Graduation Day,1981-05-01,R,3600.0,4.9
173,Modern Problems,1981-12-25,PG,4900.0,5.1
174,Pennies from Heaven,1982-01-01,R,5300.0,6.5
175,American Pop,1981-02-13,R,4400.0,7.2
176,The Legend of the Lone Ranger,1981-05-22,PG,2000.0,5.1
177,Sphinx,1981-02-11,PG,1300.0,5.2
178,Night School,1981-09-11,R,2400.0,5.6
179,An Eye for an Eye,1981-08-14,R,3600.0,5.5
180,Zoot Suit,1982-01-01,R,1100.0,6.8
181,Rich and Famous,1981-10-09,R,1600.0,5.9
182,Buddy Buddy,1981-12-11,R,4500.0,6.5
183,Bustin' Loose,1981-05-22,R,2900.0,6.1
184,Modern Romance,1981-03-13,R,3600.0,7.0
185,Heartbeeps,1981-12-18,PG,1300.0,4.3
186,Back Roads,1981-03-13,R,829.0,5.6
187,Take This Job and Shove It,1981-05-15,PG,761.0,5.0
188,Raggedy Man,1981-09-18,R,1400.0,6.8
189,Whose Life Is It Anyway?,1982-01-22,R,2700.0,7.3
190,Inchon,1982-09-17,PG,659.0,2.7
191,All Night Long,1981-03-06,R,1700.0,5.5
192,The Pursuit of D.B. Cooper,1981-11-13,PG,1100.0,5.6
193,Rollover,1981-12-11,R,1100.0,5.4
194,Only When I Laugh,1981-09-25,R,1300.0,6.5
195,Honky Tonk Freeway,1981-08-21,PG,928.0,5.2
196,Paternity,1981-10-02,PG,920.0,4.9
197,King of the Mountain,1981-05-01,PG,384.0,5.5
198,Scream,1981-01-01,R,674.0,2.9
199,The Devil and Max Devlin,1981-03-06,PG,1200.0,5.0
200,The Amateur,1982-02-12,R,782.0,5.8
201,Longshot,1981-01-01,TV-PG,101.0,5.1
202,Comin' at Ya!,1981-07-24,R,499.0,5.1
203,Le Pont du Nord,1982-03-24,Not Rated,1100.0,6.9
204,Silence of the North,1981-10-23,PG,228.0,6.3
205,Fast Times at Ridgemont High,1982-08-13,R,98000.0,7.2
206,Blade Runner,1982-06-25,R,710000.0,8.1
207,The Thing,1982-06-25,R,382000.0,8.1
208,Conan the Barbarian,1982-05-14,R,141000.0,6.9
209,E.T. the Extra-Terrestrial,1982-06-11,PG,381000.0,7.8
210,First Blood,1982-10-22,R,234000.0,7.7
211,An Officer and a Gentleman,1982-08-13,R,52000.0,7.0
212,Grease 2,1982-06-11,PG,34000.0,4.4
213,Annie,1982-06-18,PG,41000.0,6.6
214,Poltergeist,1982-06-04,PG,148000.0,7.3
215,48 Hrs.,1982-12-08,R,73000.0,6.9
216,Star Trek II: The Wrath of Khan,1982-06-04,PG,115000.0,7.7
217,Paradise,1982-05-07,R,2500.0,4.9
218,The Last American Virgin,1982-07-30,R,8100.0,6.3
219,Sophie's Choice,1983-03-04,R,44000.0,7.6
220,Gandhi,1983-02-25,PG,220000.0,8.0
221,Tootsie,1982-12-17,PG,100000.0,7.4
222,Tron,1982-07-09,PG,115000.0,6.8
223,The Secret of NIMH,1982-07-16,G,37000.0,7.6
224,The King of Comedy,1983-02-18,PG,94000.0,7.8
225,Rocky III,1982-05-28,PG,179000.0,6.8
226,The Beastmaster,1982-08-20,PG,22000.0,6.2
227,Creepshow,1982-11-12,R,44000.0,6.9
228,The Man from Snowy River,1982-11-05,PG,8200.0,7.3
229,Pink Floyd: The Wall,1982-09-17,R,78000.0,8.0
230,Cat People,1982-04-02,R,20000.0,6.2
231,Fanny and Alexander,1982-12-17,R,59000.0,8.1
232,Friday the 13th Part III,1982-08-13,R,49000.0,5.7
233,Firefox,1982-06-18,PG,26000.0,6.0
234,Halloween III: Season of the Witch,1982-10-22,R,45000.0,5.0
235,The Dark Crystal,1982-12-17,PG,63000.0,7.2
236,The Verdict,1982-12-17,R,37000.0,7.7
237,Pieces,1983-09-23,Not Rated,9300.0,6.1
238,Zapped!,1982-09-03,R,6500.0,4.9
239,Six Pack,1982-07-16,PG,2800.0,5.9
240,The World According to Garp,1982-07-23,R,25000.0,7.2
241,Diner,1982-05-21,R,19000.0,7.1
242,The Best Little Whorehouse in Texas,1982-07-23,R,10000.0,6.0
243,The Year of Living Dangerously,1983-02-18,PG,20000.0,7.1
244,Night Shift,1982-07-30,R,15000.0,6.6
245,Summer Lovers,1982-07-16,R,3900.0,5.7
246,Victor Victoria,1982-03-19,PG,20000.0,7.6
247,The Last Unicorn,1982-11-19,G,25000.0,7.4
248,The Entity,1983-02-04,R,15000.0,6.7
249,Airplane II: the Sequel,1982-12-10,PG,50000.0,6.2
250,The Toy,1982-12-10,PG,11000.0,5.8
251,The House on Sorority Row,1983-07-28,R,7800.0,6.0
252,Evil Under the Sun,1982-03-05,PG,15000.0,7.1
253,The Sword and the Sorcerer,1982-04-30,R,5700.0,5.6
254,Death Wish II,1982-02-19,R,15000.0,6.0
255,Silent Rage,1982-04-02,R,5300.0,5.5
256,Megaforce,1982-06-25,PG,3400.0,3.7
257,Personal Best,1982-06-26,R,2600.0,6.3
258,Dead Men Don't Wear Plaid,1982-05-21,PG,21000.0,6.9
259,Amityville II: The Possession,1982-09-24,R,11000.0,5.5
260,Missing,1982-03-12,PG,19000.0,7.7
261,Frances,1983-03-11,R,7300.0,7.3
262,The Seduction,1982-01-29,R,1100.0,4.9
263,Cannery Row,1982-02-12,PG,3500.0,6.7
264,Deathtrap,1982-03-19,PG,13000.0,7.0
265,Tex,1982-07-30,PG,2000.0,6.5
266,Time Walker,1982-11-19,PG,1700.0,3.6
267,"I, the Jury",1982-04-22,R,1500.0,5.9
268,Tempest,1982-09-24,PG,2200.0,6.5
269,Young Doctors in Love,1982-07-16,R,3000.0,5.5
270,My Favorite Year,1982-10-08,PG,9000.0,7.4
271,Still of the Night,1982-11-19,PG,4300.0,6.1
272,Parasite,1982-03-12,R,2300.0,3.9
273,Making Love,1982-03-05,R,2500.0,6.9
274,Honkytonk Man,1982-12-15,PG,8200.0,6.6
275,The Beast Within,1982-02-12,R,3700.0,5.6
276,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1983-04-06,PG,4200.0,7.2
277,The Final Option,1983-09-16,R,3000.0,6.4
278,Trail of the Pink Panther,1982-12-17,PG,9800.0,5.0
279,The Sender,1982-10-22,R,1800.0,6.0
280,The Border,1982-02-12,R,6100.0,6.4
281,Kiss Me Goodbye,1982-12-22,PG,1900.0,6.0
282,A Midsummer Night's Sex Comedy,1982-07-16,PG,19000.0,6.6
283,Vice Squad,1982-01-22,R,2000.0,6.5
284,Best Friends,1982-12-17,PG,2700.0,5.5
285,Shoot the Moon,1982-02-19,R,2500.0,6.9
286,Lookin' to Get Out,1983-06-30,R,684.0,5.1
287,Barbarosa,1982-02-19,PG,1500.0,6.4
288,Visiting Hours,1982-05-28,R,3800.0,5.7
289,A Little Sex,1982-04-02,R,501.0,4.9
290,Class Reunion,1982-10-29,R,2000.0,4.7
291,Hanky Panky,1982-06-04,PG,2400.0,5.6
292,Author! Author!,1982-06-18,PG,5100.0,6.2
293,Split Image,1982-10-03,R,768.0,6.5
294,The Challenge,1982-07-23,R,2000.0,6.3
295,The Soldier,1982-08-27,R,1100.0,5.3
296,Wrong Is Right,1982-05-14,R,1800.0,5.7
297,Six Weeks,1982-12-17,PG,818.0,5.7
298,The State of Things,1983-02-18,R,3000.0,7.0
299,Jekyll and Hyde... Together Again,1982-10-01,R,1100.0,6.2
300,Forced Vengeance,1982-07-30,R,2900.0,5.6
301,The Missionary,1982-11-05,R,2100.0,6.2
302,The Escape Artist,1982-05-28,PG,683.0,6.2
303,Night Crossing,1982-02-05,PG,1300.0,6.5
304,Endangered Species,1982-09-10,R,914.0,5.9
305,Things Are Tough All Over,1982-08-04,R,3100.0,6.0
306,Homework,1982-08-27,R,322.0,3.5
307,Jinxed!,1982-10-22,R,984.0,4.7
308,The Return of Martin Guerre,1983-08-26,Not Rated,4100.0,7.4
309,They Call Me Bruce,1982-11-12,PG,1500.0,5.7
310,Some Kind of Hero,1982-04-02,R,1400.0,5.8
311,Hammett,1982-09-17,PG,3000.0,6.5
312,Five Days One Summer,1982-01-01,PG,1000.0,6.1
313,Penitentiary II,1982-04-02,R,538.0,4.4
