,released_date,budget,gross
197,1981-05-01,2000000.0,1791147.0
198,1981-01-01,20500000.0,20208496.0
199,1981-03-06,20500000.0,16000000.0
200,1982-02-12,20500000.0,6892098.0
201,1981-01-01,20500000.0,20208496.0
202,1981-07-24,20500000.0,12000000.0
203,1982-03-24,20500000.0,17110.0
204,1981-10-23,20500000.0,1622898.0
205,1982-08-13,4500000.0,27092880.0
206,1982-06-25,28000000.0,41676878.0
207,1982-06-25,15000000.0,19632053.0
208,1982-05-14,20000000.0,68851475.0
209,1982-06-11,10500000.0,792910554.0
210,1982-10-22,15000000.0,125212904.0
211,1982-08-13,7500000.0,129795554.0
212,1982-06-11,13200000.0,15171476.0
213,1982-06-18,50000000.0,57063861.0
214,1982-06-04,10700000.0,77142388.0
215,1982-12-08,12000000.0,78868508.0
216,1982-06-04,11200000.0,78912963.0
217,1982-05-07,20500000.0,5588800.0
218,1982-07-30,20500000.0,5829781.0
219,1983-03-04,12000000.0,30036000.0
220,1983-02-25,22000000.0,52767889.0
221,1982-12-17,21000000.0,177200000.0
222,1982-07-09,17000000.0,33000525.0
223,1982-07-16,7000000.0,14665733.0
224,1983-02-18,20000000.0,2536242.0
225,1982-05-28,17000000.0,125052686.0
226,1982-08-20,8000000.0,14056528.0
227,1982-11-12,8000000.0,21028755.0
228,1982-11-05,3500000.0,20659423.0
229,1982-09-17,12000000.0,22265763.0
230,1982-04-02,18000000.0,7000000.0
231,1982-12-17,6000000.0,6795771.0
232,1982-08-13,2300000.0,36690067.0
233,1982-06-18,18000000.0,46708276.0
234,1982-10-22,2500000.0,14400000.0
235,1982-12-17,15000000.0,41630431.0
236,1982-12-17,16000000.0,53993738.0
237,1983-09-23,300000.0,2032311.0
238,1982-09-03,20500000.0,16897768.0
239,1982-07-16,20500000.0,20225989.0
240,1982-07-23,17000000.0,29712172.0
241,1982-05-21,5000000.0,14099953.0
242,1982-07-23,35000000.0,69701637.0
243,1983-02-18,13000000.0,10278575.0
244,1982-07-30,20500000.0,21095638.0
245,1982-07-16,20500000.0,4968000.0
246,1982-03-19,20500000.0,28229046.0
247,1982-11-19,3500000.0,6455330.0
248,1983-02-04,9000000.0,13277558.0
249,1982-12-10,15000000.0,27150534.0
250,1982-12-10,17000000.0,47118057.0
251,1983-07-28,425000.0,10604986.0
252,1982-03-05,10000000.0,6110670.0
253,1982-04-30,20500000.0,39103425.0
254,1982-02-19,2000000.0,16100000.0
255,1982-04-02,4500000.0,10490791.0
256,1982-06-25,20000000.0,5675599.0
257,1982-06-26,16000000.0,5672311.0
258,1982-05-21,9000000.0,18196170.0
259,1982-09-24,5000000.0,12534817.0
260,1982-03-12,9500000.0,14000000.0
261,1983-03-11,20500000.0,20208496.0
262,1982-01-29,20500000.0,11378339.0
263,1982-02-12,11300000.0,5301539.0
264,1982-03-19,20500000.0,19282134.0
265,1982-07-30,20500000.0,7400000.0
266,1982-11-19,750000.0,20208496.0
267,1982-04-22,20500000.0,1515578.0
268,1982-09-24,13000000.0,5005245.0
269,1982-07-16,20500000.0,30688860.0
270,1982-10-08,20500000.0,20123620.0
271,1982-11-19,10000000.0,5979947.0
272,1982-03-12,800000.0,2270.0
273,1982-03-05,20500000.0,11897978.0
274,1982-12-15,2000000.0,4484991.0
275,1982-02-12,20500000.0,7742572.0
276,1983-04-06,850000.0,840958.0
277,1983-09-16,6000000.0,2666873.0
278,1982-12-17,6000000.0,9056073.0
279,1982-10-22,20500000.0,1054328.0
280,1982-02-12,22000000.0,6118683.0
281,1982-12-22,20500000.0,15782759.0
282,1982-07-16,20500000.0,9077269.0
283,1982-01-22,20500000.0,13253583.0
284,1982-12-17,15000000.0,36821203.0
285,1982-02-19,12000000.0,9217530.0
286,1983-06-30,17000000.0,946461.0
287,1982-02-19,11000000.0,1736123.0
288,1982-05-28,20500000.0,13258670.0
289,1982-04-02,20500000.0,2370376.0
290,1982-10-29,20500000.0,10054150.0
291,1982-06-04,20500000.0,9823934.0
292,1982-06-18,20500000.0,13111101.0
293,1982-10-03,20500000.0,263635.0
294,1982-07-23,20500000.0,2977706.0
295,1982-08-27,4000000.0,6328816.0
296,1982-05-14,10000000.0,3583513.0
297,1982-12-17,20500000.0,6668025.0
298,1983-02-18,20500000.0,3700.0
299,1982-10-01,5000000.0,3792188.0
300,1982-07-30,5000000.0,6660333.0
301,1982-11-05,20500000.0,7241180.0
302,1982-05-28,20500000.0,143369.0
303,1982-02-05,10000000.0,8000000.0
304,1982-09-10,20500000.0,1474249.0
305,1982-08-04,7000000.0,21134374.0
306,1982-08-27,20500000.0,2914328.0
307,1982-10-22,13400000.0,2869638.0
308,1983-08-26,20500000.0,3723036.0
309,1982-11-12,20500000.0,16894678.0
310,1982-04-02,20500000.0,23671186.0
311,1982-09-17,20500000.0,42914.0
312,1982-01-01,15000000.0,199078.0
313,1982-04-02,20500000.0,3178542.0
314,1982-04-23,20500000.0,8693512.0
315,1982-04-30,6000000.0,6062898.0
316,1982-03-12,20500000.0,36299720.0
